Titulo del comentario,Tipo de Habitacion,Fecha reserva,Fecha del comentario,Nombre ,Me gusto,No me gusto,Duracion estadia,Puntaje,Pais procedencia,Tipo viajero
Bien,Habitación Resort con 2 camas individuales,mayo de 2025,Fecha del comentario: 15 de mayo de 2025,Emily,"Food from the restaurants was expensive but really good. 
Nice to be among wildlife on island.",Nothing to do when weather is bad- all water sports cancelled which made the stay a bit boring.,3 noches ·,"7,0",Reino Unido,En pareja
A beautiful location just a pity the cleaners did a terrible job. Not sure if u der staffed or cleaners have never clean,Alojamiento Superior con cama extragrande y vistas al océano,mayo de 2025,Fecha del comentario: 14 de mayo de 2025,Michael,"The view from the room, great breakfast and staff friendly","The mould in our room was unacceptable and actually very detrimental to a persons health. Pillows and quilt mouldy, bathroom full of mould and bath stained. When room made up floor wasn’t swept bathroom not cleaned left with dirty cups and glasses.",3 noches ·,"6,0",Australia,En pareja
Great holiday,Habitación Superior con vistas a la piscina - Cama extragrande,mayo de 2025,Fecha del comentario: 13 de mayo de 2025,Monica,"The staff were amazing, the facilities were great, we just didn't get great weather which is out of everyone's control but not much to do indoor.",The weather haha,4 noches ·,"9,0",Australia,En familia
Beautiful location and plenty of things to do,Habitación Superior con vistas a la piscina - Cama extragrande,mayo de 2025,Fecha del comentario: 12 de mayo de 2025,Sarah,"Beautiful location, the Living Reef was a highlight. The room was big and clean. And the wildlife on the island was very friendly.",The food options were very limited (and expensive) and the options they did have they didn’t do well.,7 noches ·,"7,0",Australia,Persona que viaja sola
"Nice place for young children, good pool and safe snorkeling bay. facility is old.",Habitación Doble Resort con cama grande,abril de 2025,Fecha del comentario: 10 de mayo de 2025,Ye,Free snorkeling everyday.,Kids club was too expensive.,5 noches ·,"7,0",Australia,En familia
Muy bien,Alojamiento Superior con cama extragrande y vistas al océano,mayo de 2025,Fecha del comentario: 9 de mayo de 2025,Sharon,View was amazing and the cockatoos,No,2 noches ·,"8,0",Australia,En pareja
Beautiful part of world just facilities could of been better,Habitación Doble Resort con cama grande,mayo de 2025,Fecha del comentario: 6 de mayo de 2025,Dianne,Beautiful island,"Extremely restrictive food wise, must eat certain times or miss out. Ran out of gluten free bread for two days.",4 noches ·,"7,0",Australia,En pareja
Great overall! Had the best time but for the cleanliness of our room after requesting for it to be cleaned everyday.,Habitación Superior con vistas a la piscina - Cama extragrande,abril de 2025,Fecha del comentario: 27 de abril de 2025,Beatrix,"Amazing value for money. There were a lot of activities. I enjoyed the buffet breakfast, cocktail and mocktail selection. Staff were very friendly. Great amenities.","Housekeeping wasn’t good, the rooms were not vacuumed for the 5 days that we stayed. I found it bizarre. I am unsure if they replaced our towels, but I left them hanging and upon return there were towels folded but they had stains on them. The place was so dusty.",4 noches ·,"8,0",Australia,En pareja
"Magic views, food selection needs attention",Alojamiento Superior con cama extragrande y vistas al océano,abril de 2025,Fecha del comentario: 26 de abril de 2025,Free6ty,The view was spectacular from every location. The living reef was awesome. Lovers cove magical,The resort shop was not very stocked. Families need options for buying snacks outside restaurants. My daughter is coeliac and she struggled to find food to eat as we were told at restaurants that there was cross contamination.,3 noches ·,"9,0",Australia,En familia
"Overall enjoyed our staff, improvements to food options and resort itself would be needed in my opinion.",Habitación Superior con vistas a la piscina - Cama extragrande,abril de 2025,Fecha del comentario: 22 de abril de 2025,Gavin,"Location and activities available, like access to daily excursions to other islands , water activities like kayaking and snorkeling were great.","Food choice was limited , while the staff were friendly some were also quite non informative and would not be likely to go out of their way to help or offer much help , which isn’t very good for staff in the hospitality sector. Rooms and resort a bit dated in places , could do with a bit of an uplift.",6 noches ·,"7,0",Irlanda,En pareja
Great family getaway,Habitación Doble Superior con vistas a la piscina - 2 camas,abril de 2025,Fecha del comentario: 21 de abril de 2025,Sharon,"Beautiful views, walks, wildlife. Had plenty to keep busy or just relax.",Thought was a little overpriced. Some staff weren't very friendly. Most were great.,3 noches ·,"7,0",Australia,En familia
Besides the evacuation false alarm it was very good.,Habitación Deluxe Ocean con terraza - Cama extragrande,abril de 2025,Fecha del comentario: 21 de abril de 2025,Maria,Location,"There is an evacuation fire alarm … it happened twice, at 5am and another night at 1:30am… it was really scary and anoying",5 noches ·,"7,0",Bélgica,En familia
awesome would come back,Habitación Resort con 2 camas individuales,abril de 2025,Fecha del comentario: 15 de abril de 2025,Adrian,"very nice, love the dinner on lovers cove sunset","i try to extend our stay by couple days due to friend arriving on island the day after we left, but was told there no accommodation was full, i thought that was poor....

Need to make couple more walking trails....",4 noches ·,"9,0",Australia,En familia
"Location is amazing. The laidback feel of the resort is great, you’re really in your own world.",Habitación Superior con vistas al mar - 2 camas,abril de 2025,Fecha del comentario: 8 de abril de 2025,Voovoo84,Location is beautiful. Pool is great! Family friendly. Staff are friendly and welcoming. Love the laidback feel of the resort. The whole island is open for guests to explore. Reef is a great bonus.,Didn’t like that the room wasn’t clean enough. Toilet was not cleaned properly. Stains still in toilet bowl and seat. And can see the soap scum on shower screens.,4 noches ·,"7,0",Australia,En familia
Bien,Habitación Superior con vistas al mar - 2 camas,abril de 2025,Fecha del comentario: 5 de abril de 2025,Tony,"breakfast was excellent. Good variety of hot dishes, cold dishes, fruit, pastries etc.",The first 3 night of our stay became a little uncomfortable as there was an issue with the air conditioner which made for an uncomfortable environment. There was a lot of condensation resulting in water dripping from our ceiling onto the floor and bedding. On our 4th night we were upgraded to a new room.,6 noches ·,"7,0",Australia,En familia
Much needed getaway.,Habitación Superior - Cama extragrande - Lado de la piscina,marzo de 2025,Fecha del comentario: 4 de abril de 2025,Christy,The location was truly breathtaking. The staff were helpful. We loved seeing the wildlife around the property. The food was also very good considering the limited options. Loved the pool and the pool bar. Would come again 100%,,3 noches ·,"9,0",Australia,En pareja
Great spot,Habitación Doble Resort con cama grande,marzo de 2025,Fecha del comentario: 31 de marzo de 2025,Laura,Great location,Not enough options to eat. One very rude staff on arrival. Waited 2 1/2 hours after check in time for our room to be cleaned.,2 noches ·,"7,0",Australia,En familia
Great weekend away! Wonderful staff and great size rooms,Habitación Superior con vistas al mar - 2 camas,marzo de 2025,Fecha del comentario: 30 de marzo de 2025,Carmen,Great remote location - very peaceful. Good size rooms,"Limited activities, spa was unavailable as they only had one therapist who was sick and no back up. Room service would have been great",2 noches ·,"8,0",Australia,En grupo
Bien,Habitación Resort con 2 camas individuales,marzo de 2025,Fecha del comentario: 28 de marzo de 2025,Thorben,Nice island,"The hotel is a bit old and requires some repairs. Rusty bathtubs should be replaced with a shower suitable for 2 people. Bedside tables should be added to each bed.
The Southern part of the island seems abandoned and sad, but has plenty of potential",4 noches ·,"7,0",Australia,En pareja
